SendingfirmID,ReceivingfirmID,Start date of Transaction,End date of Transaction,Amount Sent in $,Amount Received in $,ColG,ColH,ColI,ColJ,ColK,SomeCode
153047,1000019,10100,13000,6194.76,6194.72,1937.4,6.19,0,0.001,0.31275,I4
153047,153047,10100,13000,7921.64,7921.67,2477.5,7.92,0,0.001,0.31275,I4
114169,114169,10100,20700,417541,417541,91337.1,0,0,0,0.21875,AO
115009,115009,10100,33000,2415,2415,2415,0,0,0,1,I8
115009,115009,20700,21300,17029.1,17029.2,3469.7,0,0,0,0.20375,N5
115009,115009,20700,21300,4.25,4.22,0.86,0,0,0,0.20375,N5
152471,102660,10100,13000,7152.54,7152.5,1516.78,0,0,0,0.212062,TL
152471,100237,10100,13000,9822.43,9822.5,2082.98,0,0,0,0.212062,TL
152471,152471,10100,13000,855.17,855.21,254.64,0,0,0,0.29775,TK
152161,152161,10100,13000,-545.94,-545.89,-162.54,0,0,0,0.29775,TK
152161,152161,10100,13000,272.94,272.95,81.27,0,0,0,0.29775,TK
152161,152161,10100,13000,272.94,272.95,81.27,0,0,0,0.29775,TK
109897,109897,10100,13000,840.8,840.8,232.44,0,0,0,0.27645,TM
109897,109897,10100,13000,45.6,45.61,12.61,0,0,0,0.27645,TM
153114,153114,20100,22800,2970,2970,2970,0,0,0,1,I8
101059,101059,10100,13000,26996.9,26997,8308.31,27,0,0.001,0.30775,TA
101059,101059,10100,13000,19308.7,19308.7,5942.26,19.31,0,0.001,0.30775,TA
101059,1000019,10100,13000,7507.35,7507.35,2310.39,7.51,0,0.001,0.30775,TA
101059,101059,10100,13000,1473.2,1473.17,421.99,1.47,0,0.001,0.28645,TE
101059,12203512,10100,13000,17547,17547,3852.66,13.16,0,0.00075,0.219563,TG
101059,151725,10100,13000,8105.17,8105.21,1779.6,6.08,0,0.00075,0.219563,TG
101059,152882,10100,13000,19264,19264,4229.65,14.45,0,0.00075,0.219563,TG
101059,101059,10100,13000,54.05,54.1,16.65,0.05,0,0.001,0.30775,TA
113906,113906,10100,13000,11090.4,11090.4,3413.06,11.09,0,0.001,0.30775,TA
113906,1000019,10100,13000,12608.6,12608.7,3880.31,12.61,0,0.001,0.30775,TA
113906,113906,10100,13000,2370.8,2370.8,679.12,2.37,0,0.001,0.28645,TE
113906,113906,10100,13000,857.11,857.12,263.78,0.86,0,0.001,0.30775,TA
115009,115009,20700,21300,17907.6,17907.6,3648.67,0,0,0,0.20375,N5
115009,115009,20700,21300,4.37,4.42,0.9,0,0,0,0.20375,N5
153114,153114,20100,22800,165,165,165,0,0,0,1,I8
153114,1000019,10100,13000,25290.1,25290.1,7783.03,0,0,0,0.30775,AR
153114,153114,10100,13000,185704,185704,57150.3,0,0,0,0.30775,AR
153114,153114,10100,13000,0.05,0.03,0.01,0,0,0,0.30775,AR
260393,260393,10100,13000,10208.8,10208.9,3116.26,10.21,0,0.001,0.30525,NA
260393,260393,10100,13000,167.16,167.21,51.04,0.17,0,0.001,0.30525,NA
260393,260393,20100,22800,15646.4,15646.5,4776.08,15.65,0,0.001,0.30525,NA
260393,260393,10100,13000,256.29,256.35,78.25,0.26,0,0.001,0.30525,NA
